Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Juaquin Iglesias-2007,68,907,5,0.251851852,0.250899032,0.128205128,3.6,72.875,210,4.54,1.64,34.5,116,4.4,3,99,1,0,0,1,0,0,0,0,0,0,0
D.J. Hall-2007,67,1005,6,0.254752852,0.344295992,0.315789474,6.59,73.875,193,4.54,1.55,29.5,122,,8,500,0,0,0,0,0,0,0,0,0,0,0
D.J. Hall-2006,62,1056,5,0.276785714,0.381640766,0.277777778,6.59,73.875,193,4.54,1.55,29.5,122,,8,500,0,0,0,0,0,0,0,0,0,0,0
D.J. Hall-2005,48,676,5,0.229665072,0.260300347,0.3125,6.59,73.875,193,4.54,1.55,29.5,122,,8,500,0,0,0,0,0,0,0,0,0,0,0
Dustin Keller-2007,68,881,7,0.184281843,0.220636113,0.233333333,9.5,74.125,242,4.55,1.62,38,131,4.14,1,30,5,3,22,72,48,241,2876,17,48.2,575.2,3.4
Dustin Keller-2006,56,771,4,0.173913043,0.188878001,0.166666667,9.5,74.125,242,4.55,1.62,38,131,4.14,1,30,5,3,22,72,48,241,2876,17,48.2,575.2,3.4
Joel Filani-2006,91,1300,13,0.207762557,0.270664168,0.333333333,7.03,74.125,211,4.55,1.63,32.5,117,,6,188,0,0,0,0,0,0,0,0,0,0,0
Joel Filani-2005,65,1048,8,0.166240409,0.224603515,0.235294118,7.03,74.125,211,4.55,1.63,32.5,117,,6,188,0,0,0,0,0,0,0,0,0,0,0
Marcus Henry-2007,54,1014,10,0.178807947,0.268041237,0.277777778,6.44,75.625,207,4.55,1.59,31.5,126,4.3,6,171,0,0,0,0,0,0,0,0,0,0,0
Clinton Solomon-2005,46,800,7,0.187755102,0.258648561,0.304347826,3.8,74.75,214,4.55,1.6,33,114,4.48,8,500,0,0,0,0,0,0,0,0,0,0,0
Clinton Solomon-2004,58,905,6,0.242677824,0.314127039,0.3,3.8,74.75,214,4.55,1.6,33,114,4.48,8,500,0,0,0,0,0,0,0,0,0,0,0
Limas Sweed-2006,46,801,12,0.18852459,0.269243697,0.387096774,7.53,75.875,215,4.55,1.58,35,,,2,53,2,0,1,20,0,7,69,0,3.5,34.5,0
J.R. Russell-2004,73,968,7,0.28515625,0.279526422,0.259259259,8.97,75,206,4.56,1.54,34.5,,,7,253,0,0,0,0,0,0,0,0,0,0,0
J.R. Russell-2003,75,1213,8,0.316455696,0.357922691,0.4,8.97,75,206,4.56,1.54,34.5,,,7,253,0,0,0,0,0,0,0,0,0,0,0
Chris Henry-2004,52,872,12,0.348993289,0.43753136,0.6,5.51,76,197,4.56,1.67,36,,,3,83,5,0,16,55,12,119,1826,21,23.8,365.2,4.2
Chris Henry-2003,41,1006,10,0.317829457,0.494591937,0.526315789,5.51,76,197,4.56,1.67,36,,,3,83,5,0,16,55,12,119,1826,21,23.8,365.2,4.2
Shawn Nelson-2008,53,557,3,0.202290076,0.177728143,0.130434783,7.99,77,240,4.56,1.66,33,115,4.46,4,121,2,1,1,17,13,20,181,1,10,90.5,0.5
Ryan Moore-2003,44,637,3,0.179591837,0.227825465,0.2,4.98,74.25,217,4.56,1.6,32,110,4.35,8,500,0,0,0,0,0,0,0,0,0,0,0
P.K. Sam-2003,50,735,5,0.200803213,0.209700428,0.192307692,7.7,75.375,210,4.56,1.58,34.5,,,5,164,1,0,0,2,0,0,0,0,0,0,0
Justin Harper-2007,41,635,5,0.187214612,0.230406386,0.294117647,6.23,75.5,213,4.56,1.54,28.5,120,4.43,7,215,1,0,0,2,0,0,0,0,0,0,0
Justin Harper-2005,64,607,4,0.247104247,0.212163579,0.25,6.23,75.5,213,4.56,1.54,28.5,120,4.43,7,215,1,0,0,2,0,0,0,0,0,0,0
